Fecha,Magnitud
01/01/2008,4.2
01/01/2008,4.5
01/01/2008,3.9
01/01/2008,3.9
01/01/2008,3.6
01/01/2008,3.4
01/01/2008,3.6
01/02/2008,3.7
01/02/2008,4.2
01/02/2008,3.6
01/02/2008,3.9
01/03/2008,3.7
01/03/2008,3.9
01/03/2008,4
01/04/2008,4.4
01/04/2008,3.6
01/04/2008,4.1
01/04/2008,3.9
01/04/2008,5.3
01/04/2008,3.9
01/04/2008,3.7
01/05/2008,3.5
01/05/2008,4
01/06/2008,3.8
01/06/2008,5
01/06/2008,3.6
01/07/2008,4.6
01/07/2008,4.8
01/07/2008,3.7
01/08/2008,3.8
01/08/2008,3.4
01/08/2008,3.7
01/08/2008,4
01/08/2008,4.1
01/09/2008,4
01/09/2008,4
01/09/2008,3.5
01/09/2008,4.2
01/10/2008,3.9
01/11/2008,4.1
01/11/2008,4.6
01/11/2008,3.9
01/11/2008,4
01/12/2008,4.3
01/12/2008,3.8
01/12/2008,4
01/12/2008,4
01/12/2008,4.2
01/12/2008,4.2
01/12/2008,4.3
1/13/2008,4.2
1/13/2008,4.2
1/13/2008,3.8
1/13/2008,4.6
1/13/2008,3.8
1/14/2008,4.2
1/14/2008,3.7
1/14/2008,4.2
1/14/2008,3.8
1/15/2008,4.3
1/15/2008,3.7
1/16/2008,4
1/16/2008,3.8
1/16/2008,4.4
1/16/2008,3.8
1/17/2008,3.7
1/17/2008,3.7
1/17/2008,3.7
1/17/2008,4.1
1/17/2008,3.6
1/18/2008,3.9
1/18/2008,3.5
1/18/2008,4.3
1/18/2008,3.6
1/18/2008,4.5
1/18/2008,3.7
1/19/2008,3.6
1/19/2008,3.5
1/19/2008,3.9
1/19/2008,4.1
1/20/2008,3.5
1/20/2008,3.4
1/20/2008,3.8
1/20/2008,4
1/20/2008,4.5
1/20/2008,3.8
1/21/2008,3.9
1/21/2008,4.2
1/21/2008,4.6
1/21/2008,3.5
1/21/2008,4
1/21/2008,4
1/22/2008,3.8
1/22/2008,4.3
1/22/2008,4
1/22/2008,4.8
1/22/2008,4.5
1/23/2008,3.5
1/23/2008,3.7
1/23/2008,4.3
1/23/2008,3.5
1/23/2008,4.4
1/23/2008,3.7
1/24/2008,3.6
1/24/2008,3.7
1/24/2008,3.6
1/24/2008,3.7
1/24/2008,4.5
1/25/2008,4.1
1/25/2008,4
1/25/2008,3.5
1/25/2008,4.1
1/25/2008,4.4
1/25/2008,4.6
1/26/2008,3.9
1/26/2008,3.7
1/26/2008,4
1/27/2008,4.3
1/27/2008,4.1
1/27/2008,3.9
1/27/2008,4
1/28/2008,3.3
1/28/2008,3.8
1/28/2008,3.4
1/28/2008,4.2
1/28/2008,3.6
1/28/2008,4.1
1/28/2008,2.9
1/29/2008,4
1/29/2008,4.2
1/29/2008,3.6
1/29/2008,3.9
1/29/2008,4
1/31/2008,4.5
1/31/2008,4.5
1/31/2008,4.2
1/31/2008,3.9
1/31/2008,4.5
02/01/2008,4.2
02/01/2008,3.8
02/01/2008,3.8
02/01/2008,4
02/01/2008,4
02/02/2008,3.7
02/02/2008,3.9
02/02/2008,4.9
02/02/2008,3.4
02/02/2008,3.9
02/02/2008,3.9
02/03/2008,3.7
02/03/2008,3.5
02/03/2008,3.8
02/03/2008,4
02/04/2008,3.9
02/04/2008,3.6
02/04/2008,3.7
02/04/2008,3.5
02/04/2008,4.1
02/05/2008,3.8
02/05/2008,4.1
02/05/2008,4
02/05/2008,3.9
02/05/2008,4.1
02/06/2008,4.1
02/06/2008,3.6
02/06/2008,3.6
02/06/2008,3.9
02/06/2008,4
02/06/2008,4
02/06/2008,4.8
02/06/2008,3.7
02/06/2008,3.4
02/06/2008,3.9
02/07/2008,3.7
02/07/2008,4.5
02/07/2008,4.4
02/07/2008,4
02/07/2008,3.7
02/07/2008,4
02/07/2008,3.9
02/07/2008,3.8
02/07/2008,3.8
02/08/2008,3.8
02/09/2008,5.3
02/09/2008,4.1
02/09/2008,3.7
02/09/2008,4.2
02/09/2008,4.3
02/09/2008,4.3
02/09/2008,4.1
02/09/2008,4.2
02/09/2008,3.8
02/09/2008,4.2
02/09/2008,4
02/09/2008,4.1
02/09/2008,4
02/09/2008,3.8
02/09/2008,3.1
02/09/2008,4.2
02/10/2008,3.5
02/10/2008,4.7
02/10/2008,3.8
02/10/2008,4.2
02/11/2008,4.3
